,is_paid,num_subscribers,average_rating,rating,num_reviews,num_lectures,num_tests,time_created,time_published,discount,price
0,1,295509,4.66019,4.67874,78006,84,0,16845,16897,6.161458333333334,117.0
1,1,209070,4.58956,4.60015,54581,78,0,17035,17036,6.161458333333334,117.0
2,1,155282,4.59491,4.59326,52653,292,2,17435,17484,6.161458333333334,117.0
3,1,245860,4.54407,4.53772,46447,338,0,16731,16821,6.161458333333334,117.0
4,1,374836,4.4708,4.47173,41630,83,0,16720,16811,6.161458333333334,117.0
5,1,124180,4.56228,4.57676,38093,275,0,17294,17301,6.161458333333334,117.0
6,1,96207,4.32383,4.29118,30470,23,0,16951,16975,6.161458333333334,117.0
7,1,127680,4.54034,4.53346,28665,275,0,16360,16399,6.161458333333334,117.0
8,1,112572,4.50386,4.5008,27408,144,0,16757,16877,6.161458333333334,117.0
9,1,115269,4.50067,4.49575,23906,413,0,17640,17646,6.161458333333334,117.0
10,1,86715,4.61951,4.63301,23580,117,0,17587,17647,6.161458333333334,117.0
11,1,82015,4.49968,4.49034,23326,67,0,16834,16852,6.161458333333334,117.0
12,1,68148,4.5687,4.59302,22595,43,0,16694,16717,6.161458333333334,78.0
13,1,76812,4.53878,4.54203,21537,41,0,17358,17403,6.161458333333334,117.0
14,1,78968,4.57035,4.57067,21436,286,0,17462,17464,6.161458333333334,117.0
15,1,182002,4.49571,4.49507,21421,225,0,17289,17395,6.161458333333334,117.0
16,1,114945,4.51251,4.52998,21394,101,0,17101,17220,6.161458333333334,117.0
17,1,88468,4.49804,4.48929,19970,160,0,17067,17084,6.161458333333334,117.0
18,1,72442,4.59922,4.59604,19328,103,0,16637,16740,6.161458333333334,117.0
19,1,239309,4.47381,4.54005,18322,47,0,17084,17086,6.161458333333334,17.333333333333336
20,1,83072,4.51891,4.52806,17617,111,0,17143,17255,6.161458333333334,117.0
21,1,67329,4.56473,4.5554,17016,57,0,16339,16416,6.161458333333334,117.0
22,1,140676,4.4758,4.46916,17013,61,0,16978,16980,6.770833333333334,125.66666666666669
23,1,50037,4.42501,4.41557,15956,23,0,17044,17271,6.161458333333334,34.66666666666667
24,1,48055,4.43303,4.42199,14255,44,0,17044,17048,6.161458333333334,65.0
25,1,74011,4.62899,4.63196,14006,88,0,17246,17275,6.161458333333334,117.0
26,1,102727,4.55248,4.56591,12478,78,0,16169,16190,6.161458333333334,117.0
27,1,49877,4.40093,4.40429,11977,88,0,17843,17845,6.161458333333334,117.0
28,1,59141,4.34305,4.33968,11660,39,0,16183,16395,6.161458333333334,117.0
29,1,38698,4.57554,4.58325,11529,31,0,16640,16691,6.161458333333334,91.0
30,1,85042,4.42296,4.42503,11007,49,0,16821,16832,6.161458333333334,117.0
31,1,63084,4.63452,4.64145,10979,74,0,17044,17079,6.161458333333334,117.0
32,1,39873,4.46625,4.49998,10725,124,0,16611,16748,6.161458333333334,34.66666666666667
33,1,27681,4.47545,4.48064,10671,14,0,16068,16070,0.0,30.333333333333336
34,1,33319,4.38382,4.39496,10470,29,0,16628,17452,6.161458333333334,26.0
35,1,158654,4.46745,4.44446,10288,206,0,17197,17288,7.3125,138.66666666666669
36,1,29061,4.56978,4.56584,10102,284,2,17466,17523,6.161458333333334,117.0
37,1,28937,4.36402,4.39681,10059,23,0,17412,17415,6.161458333333334,117.0
38,1,72406,4.4679,4.45238,9631,44,0,17114,17114,6.161458333333334,117.0
39,1,20978,4.45476,4.45477,9594,21,1,17955,17973,0.0,43.333333333333336
40,1,34296,4.4375,4.45212,9520,19,0,16068,16070,0.0,30.333333333333336
41,1,39816,4.41,4.41373,9195,86,0,16477,16506,6.161458333333334,117.0
42,1,62384,4.35213,4.33177,9196,600,0,17728,17733,7.39375,138.66666666666669
43,1,79955,4.50237,4.50644,9107,16,0,15802,15802,7.217708333333333,30.333333333333336
44,1,47394,4.58716,4.59197,9081,97,0,17603,17614,6.161458333333334,117.0
45,1,32818,4.41307,4.46243,8925,15,0,16772,16808,6.161458333333334,34.66666666666667
46,1,16511,4.51703,4.55482,8915,19,0,16610,16622,6.161458333333334,17.333333333333336
47,1,64080,4.45989,4.43577,8591,152,0,16088,16175,6.513541666666667,121.33333333333334
48,1,21305,4.38921,4.38864,8122,38,0,17429,17444,6.161458333333334,117.0
49,1,44484,4.53584,4.53498,7815,186,0,17343,17345,6.161458333333334,117.0
50,1,39537,4.44398,4.43587,7693,305,2,16631,16769,6.161458333333334,117.0
51,1,29095,4.42667,4.42281,7641,87,0,17418,17419,6.608333333333333,125.66666666666669
52,1,33408,4.44969,4.48307,7448,35,0,17218,17268,6.161458333333334,26.0
53,1,36326,4.3702,4.36866,7362,88,0,16744,16749,6.161458333333334,117.0
54,1,22106,4.42781,4.40904,7246,38,0,16002,16012,6.161458333333334,117.0
55,1,25057,4.56653,4.55885,7186,222,1,17604,17628,6.161458333333334,117.0
56,1,22558,4.54002,4.54419,6797,68,0,17137,17276,6.161458333333334,117.0
57,1,28717,4.44174,4.4567,6623,68,0,16199,16201,6.161458333333334,117.0
58,1,26929,4.50915,4.48945,6471,81,0,16530,16743,6.161458333333334,86.66666666666667
59,1,12728,4.34038,4.34485,6401,6,0,16756,16764,6.161458333333334,17.333333333333336
60,1,16778,4.32706,4.25714,6325,42,0,17428,17434,6.161458333333334,117.0
61,1,37953,4.56706,4.57075,6195,54,0,16722,16730,6.161458333333334,117.0
62,1,17598,4.35379,4.35778,6134,18,0,17146,17227,6.161458333333334,86.66666666666667
63,1,25039,4.62258,4.62968,6088,48,0,17324,17616,6.161458333333334,117.0
64,1,15059,4.36463,4.34164,6075,31,0,17702,17708,6.161458333333334,17.333333333333336
65,1,36650,4.54274,4.55138,5893,43,0,17598,17616,6.161458333333334,117.0
66,1,26292,4.44952,4.39535,5761,30,0,16694,16706,6.161458333333334,117.0
67,1,25820,4.50586,4.46247,5763,637,0,17644,17655,6.161458333333334,117.0
68,1,25649,4.49939,4.50756,5642,208,0,16934,17352,6.161458333333334,117.0
69,1,15826,4.42925,4.44982,5650,16,0,17425,17430,6.161458333333334,78.0
70,1,42583,4.55896,4.52606,5506,127,0,17322,17465,6.161458333333334,117.0
71,1,11077,4.38087,4.37153,5466,32,0,17440,17445,6.161458333333334,117.0
72,1,21249,4.45997,4.45327,5474,65,0,16714,17422,6.161458333333334,86.66666666666667
73,1,11820,4.40315,4.47804,5435,39,0,17792,17854,6.161458333333334,95.33333333333334
74,1,19352,4.38696,4.42045,5350,43,0,17458,17479,6.161458333333334,117.0
75,1,13396,4.19608,4.14233,5177,21,0,17419,17452,6.41875,43.333333333333336
76,1,23854,3.97959,3.98862,5148,88,0,17169,17202,6.161458333333334,117.0
77,1,87181,4.54567,4.58665,5018,122,0,17430,17527,6.161458333333334,117.0
78,1,40950,4.46622,4.4613,4960,67,0,16043,16061,6.2562500000000005,17.333333333333336
79,1,16937,4.50258,4.49369,4903,53,0,16615,16659,6.161458333333334,86.66666666666667
80,1,28932,4.42527,4.41998,4881,47,0,15760,15761,0.0,130.0
81,1,35638,4.4038,4.48216,4857,96,0,16378,16500,6.513541666666667,121.33333333333334
82,1,22310,4.52025,4.58217,4849,81,0,17380,17456,6.161458333333334,117.0
83,1,18460,4.29765,4.28578,4837,65,1,17255,17273,6.513541666666667,121.33333333333334
84,1,25454,4.39505,4.35907,4811,90,0,16437,16466,6.161458333333334,117.0
85,1,21995,4.31962,4.36721,4798,58,0,16889,16890,6.161458333333334,43.333333333333336
86,1,14661,4.36619,4.3703,4763,47,0,16462,16609,6.161458333333334,86.66666666666667
87,1,15327,4.37005,4.36076,4733,31,0,17435,17483,6.161458333333334,43.333333333333336
88,1,26377,4.35714,4.3461,4619,26,0,16938,16960,39.0,117.0
89,1,17036,4.56581,4.58252,4616,99,0,17824,17829,6.689583333333333,125.66666666666669
90,1,27653,4.40769,4.41472,4579,345,0,16370,16379,0.0,173.33333333333334
91,1,14692,4.43296,4.42271,4554,49,0,17457,17541,6.161458333333334,117.0
92,1,17167,4.37106,4.39583,4508,83,0,17263,17279,6.161458333333334,117.0
93,1,15562,4.52524,4.52462,4466,125,0,16329,16405,21.666666666666668,86.66666666666667
94,1,13693,4.57537,4.56385,4412,29,0,17792,17821,6.513541666666667,104.0
95,1,24449,4.69697,4.69071,4361,88,0,16538,16544,0.0,173.33333333333334
96,1,16519,4.51699,4.52558,4345,91,0,16944,16961,6.161458333333334,117.0
97,1,18774,4.43962,4.43032,4303,66,0,17040,17178,6.161458333333334,117.0
98,1,25911,4.48485,4.48328,4297,257,0,17470,17476,6.161458333333334,117.0
99,1,13088,4.39762,4.38683,4290,57,0,17436,17442,6.161458333333334,117.0
100,1,26338,4.5025,4.48832,4240,75,0,17133,17141,6.608333333333333,117.0
101,1,17983,4.46687,4.45915,4166,45,0,16830,16834,6.161458333333334,117.0
102,1,26047,4.27826,4.28871,4163,301,0,16748,16789,0.0,173.33333333333334
103,1,9995,4.38218,4.36972,4132,18,0,16490,16931,6.161458333333334,39.0
104,1,22578,4.55337,4.56349,4073,85,0,17168,17170,6.161458333333334,117.0
105,1,27968,4.33932,4.32888,3914,71,0,16546,16549,6.689583333333333,117.0
106,1,17839,4.39702,4.42994,3869,31,0,17042,17112,6.161458333333334,104.0
107,1,10964,4.52812,4.48615,3868,24,0,17535,17539,6.161458333333334,86.66666666666667
108,1,6978,4.32603,4.3116,3855,11,0,16664,16692,6.161458333333334,26.0
109,1,9245,4.32892,4.33758,3846,11,0,17338,17367,6.161458333333334,65.0
110,1,12904,4.43758,4.4171,3845,76,0,16761,16818,6.161458333333334,60.66666666666667
111,1,13754,4.48388,4.47766,3824,81,0,17520,17549,6.161458333333334,117.0
